station_name,lat,lon,station_id
1 Ave & E 15 St,40.73221853,-73.98165557,0
1 Ave & E 30 St,40.74144387,-73.97536082,1
1 Ave & E 44 St,40.75001986,-73.96905301,2
10 Ave & W 28 St,40.75066386,-74.00176802,3
11 Ave & W 27 St,40.751396,-74.005226,4
11 Ave & W 41 St,40.76030096,-73.99884222,5
12 Ave & W 40 St,40.76087502,-74.00277668,6
2 Ave & E 31 St,40.74290902,-73.97706058,7
5 Ave & E 29 St,40.7451677,-73.98683077,8
6 Ave & Broome St,40.724399,-74.004704,9
6 Ave & Canal St,40.72243797,-74.00566443,10
6 Ave & W 33 St,40.74901271,-73.98848395,11
8 Ave & W 31 St N,40.750967348716,-73.994442075491,12
8 Ave & W 33 St,40.751551,-73.993934,13
8 Ave & W 52 St,40.76370739,-73.9851615,14
9 Ave & W 16 St,40.74206539,-74.00443172,15
9 Ave & W 18 St,40.74317449,-74.00366443,16
9 Ave & W 22 St,40.7454973,-74.00197139,17
9 Ave & W 45 St,40.76019252,-73.9912551,18
Adelphi St & Myrtle Ave,40.69308257,-73.97178913,19
Allen St & Hester St,40.71605866,-73.99190759,20
Allen St & Rivington St,40.72019576,-73.98997825,21
Allen St & Stanton St,40.722055,-73.989111,22
Atlantic Ave & Fort Greene Pl,40.68382604,-73.97632328,23
Atlantic Ave & Furman St,40.69165183,-73.9999786,24
Avenue D & E 3 St,40.72082834,-73.97793172,25
Avenue D & E 8 St,40.72368361,-73.97574813,26
Bank St & Hudson St,40.73652889,-74.00618026,27
Bank St & Washington St,40.7361967,-74.00859207,28
Barclay St & Church St,40.71291224,-74.01020234,29
Barrow St & Hudson St,40.73172428,-74.00674436,30
Bayard St & Baxter St,40.71602118,-73.99974372,31
Bialystoker Pl & Delancey St,40.71622644,-73.98261206,32
Bond St & Schermerhorn St,40.68807003,-73.98410637,33
Broad St & Bridge St,40.70365182,-74.01167797,34
Broadway & Battery Pl,40.70463334,-74.01361706,35
Broadway & Berry St,40.71044554,-73.96525063,36
Broadway & E 14 St,40.73454567,-73.99074142,37
Broadway & E 22 St,40.7403432,-73.98955109,38
Broadway & W 24 St,40.7423543,-73.98915076,39
Broadway & W 29 St,40.7462009,-73.98855723,40
Broadway & W 32 St,40.74854862,-73.98808416,41
Broadway & W 36 St,40.75097711,-73.98765428,42
Broadway & W 37 St,40.75172632,-73.98753523,43
Broadway & W 39 St,40.75299641,-73.98721619,44
Broadway & W 41 St,40.75513557,-73.98658032,45
Broadway & W 49 St,40.76064679,-73.98442659,46
Broadway & W 51 St,40.76228826,-73.98336183,47
Broadway & W 53 St,40.76344058,-73.98268129,48
Broadway & W 55 St,40.7652654,-73.98192338,49
Broadway & W 58 St,40.76695317,-73.98169333,50
Broadway & W 60 St,40.76915505,-73.98191841,51
Cadman Plaza E & Tillary St,40.69597683,-73.99014892,52
Canal St & Rutgers St,40.71427487,-73.98990025,53
Carmine St & 6 Ave,40.73038599,-74.00214988,54
Catherine St & Monroe St,40.71117444,-73.99682619,55
Central Park S & 6 Ave,40.76590936,-73.97634151,56
Centre St & Chambers St,40.71273266,-74.0046073,57
Centre St & Worth St,40.71494807,-74.00234482,58
Cherry St,40.71219906,-73.97948148,59
Christopher St & Greenwich St,40.73291553,-74.00711384,60
Clark St & Henry St,40.69760127,-73.99344559,61
Cleveland Pl & Spring St,40.7218158,-73.99720307,62
Cliff St & Fulton St,40.70823502,-74.00530063,63
Clinton Ave & Myrtle Ave,40.693261,-73.968896,64
Clinton St & Grand St,40.71559509,-73.9870295,65
Clinton St & Joralemon St,40.69239502,-73.99337909,66
Clinton St & Tillary St,40.696192,-73.991218,67
Columbia St & Rivington St,40.71739973,-73.98016555,68
Cumberland St & Lafayette Ave,40.68753406,-73.97265183,69
DeKalb Ave & Hudson Ave,40.689888,-73.981013,70
DeKalb Ave & S Portland Ave,40.68981035,-73.97493121,71
DeKalb Ave & Vanderbilt Ave,40.68940747,-73.96885458,72
Dean St & 4 Ave,40.68312489,-73.97895137,73
Division St & Bowery,40.71413089,-73.9970468,74
Duane St & Greenwich St,40.71748752,-74.0104554,75
Duffield St & Willoughby St,40.69221589,-73.9842844,76
E 10 St & 5 Ave,40.73331967,-73.99510132,77
E 10 St & Avenue A,40.72740794,-73.98142006,78
E 11 St & 1 Ave,40.72953837,-73.98426726,79
E 11 St & 2 Ave,40.73047309,-73.98672378,80
E 11 St & Broadway,40.73261787,-73.99158043,81
E 12 St & 3 Ave,40.73223272,-73.98889957,82
E 13 St & Avenue A,40.72955361,-73.98057249,83
E 14 St & Avenue B,40.72938685,-73.97772429,84
E 15 St & 3 Ave,40.734232,-73.986923,85
E 16 St & 5 Ave,40.73726186,-73.99238967,86
E 16 St & Irving Pl,40.73524276,-73.98758561,87
E 17 St & Broadway,40.73704984,-73.99009296,88
E 19 St & 3 Ave,40.73624527,-73.98473765,89
E 2 St & Avenue B,40.72217444,-73.98368779,90
E 2 St & Avenue C,40.7208736,-73.98085795,91
E 20 St & 2 Ave,40.73587678,-73.98205027,92
E 20 St & FDR Drive,40.73314259,-73.97573881,93
E 20 St & Park Ave,40.73827428,-73.98751968,94
E 23 St & 1 Ave,40.736502,-73.97809472,95
E 25 St & 1 Ave,40.7381765,-73.97738662,96
E 25 St & 2 Ave,40.73912601,-73.97973776,97
E 27 St & 1 Ave,40.739445,-73.976806,98
E 3 St & 1 Ave,40.72467721,-73.98783413,99
E 30 St & Park Ave S,40.74444921,-73.98303529,100
E 31 St & 3 Ave,40.74394314,-73.97966069,101
E 32 St & Park Ave,40.7457121,-73.98194829,102
E 33 St & 5 Ave,40.74765947,-73.98490707,103
